well_id,timestamp,barrels_per_day
IQ-OW-001,2021-01-01T00:00:00,2053.43
IQ-OW-001,2021-01-01T01:00:00,2254.70
IQ-OW-001,2021-01-01T02:00:00,2063.49
IQ-OW-001,2021-01-01T03:00:00,2196.52
IQ-OW-001,2021-01-01T04:00:00,2205.78
IQ-OW-001,2021-01-01T05:00:00,2229.89
IQ-OW-001,2021-01-01T06:00:00,2210.73
IQ-OW-001,2021-01-01T07:00:00,2064.76
IQ-OW-001,2021-01-01T08:00:00,2178.49
IQ-OW-001,2021-01-01T09:00:00,2155.18
IQ-OW-001,2021-01-01T10:00:00,2081.48
IQ-OW-001,2021-01-01T11:00:00,2207.71
IQ-OW-001,2021-01-01T12:00:00,2175.64
IQ-OW-001,2021-01-01T13:00:00,2220.78
IQ-OW-001,2021-01-01T14:00:00,2019.55
IQ-OW-001,2021-01-01T15:00:00,2095.10
IQ-OW-001,2021-01-01T16:00:00,2247.38
IQ-OW-001,2021-01-01T17:00:00,2124.96
IQ-OW-001,2021-01-01T18:00:00,2160.95
IQ-OW-001,2021-01-01T19:00:00,2228.73
IQ-OW-001,2021-01-01T20:00:00,2160.62
IQ-OW-001,2021-01-01T21:00:00,2207.54
IQ-OW-001,2021-01-01T22:00:00,2245.40
IQ-OW-001,2021-01-01T23:00:00,2229.16
IQ-OW-001,2021-01-02T00:00:00,2088.69
IQ-OW-001,2021-01-02T01:00:00,2239.62
IQ-OW-001,2021-01-02T02:00:00,2114.58
IQ-OW-001,2021-01-02T03:00:00,2209.93
IQ-OW-001,2021-01-02T04:00:00,2127.86
IQ-OW-001,2021-01-02T05:00:00,2139.77
IQ-OW-001,2021-01-02T06:00:00,2208.41
IQ-OW-001,2021-01-02T07:00:00,2079.67
IQ-OW-001,2021-01-02T08:00:00,2156.04
IQ-OW-001,2021-01-02T09:00:00,2267.44
IQ-OW-001,2021-01-02T10:00:00,2238.81
IQ-OW-001,2021-01-02T11:00:00,2155.97
IQ-OW-001,2021-01-02T12:00:00,2218.91
IQ-OW-001,2021-01-02T13:00:00,2083.69
IQ-OW-001,2021-01-02T14:00:00,2082.43
IQ-OW-001,2021-01-02T15:00:00,2186.49
IQ-OW-001,2021-01-02T16:00:00,2165.21
IQ-OW-001,2021-01-02T17:00:00,2204.01
IQ-OW-001,2021-01-02T18:00:00,2264.94
IQ-OW-001,2021-01-02T19:00:00,2033.10
IQ-OW-001,2021-01-02T20:00:00,2293.23
IQ-OW-001,2021-01-02T21:00:00,2144.60
IQ-OW-001,2021-01-02T22:00:00,2072.37
IQ-OW-001,2021-01-02T23:00:00,2350.68
IQ-OW-001,2021-01-03T00:00:00,2071.56
IQ-OW-001,2021-01-03T01:00:00,2154.79
IQ-OW-001,2021-01-03T02:00:00,2165.43
IQ-OW-001,2021-01-03T03:00:00,2261.98
IQ-OW-001,2021-01-03T04:00:00,2107.68
IQ-OW-001,2021-01-03T05:00:00,2207.61
IQ-OW-001,2021-01-03T06:00:00,2282.63
IQ-OW-001,2021-01-03T07:00:00,2237.99
IQ-OW-001,2021-01-03T08:00:00,2194.03
IQ-OW-001,2021-01-03T09:00:00,2053.26
IQ-OW-001,2021-01-03T10:00:00,2180.74
IQ-OW-001,2021-01-03T11:00:00,2310.71
IQ-OW-001,2021-01-03T12:00:00,2133.75
IQ-OW-001,2021-01-03T13:00:00,2275.98
IQ-OW-001,2021-01-03T14:00:00,2094.92
IQ-OW-001,2021-01-03T15:00:00,2125.23
IQ-OW-001,2021-01-03T16:00:00,2342.02
IQ-OW-001,2021-01-03T17:00:00,2308.88
IQ-OW-001,2021-01-03T18:00:00,2031.14
IQ-OW-001,2021-01-03T19:00:00,2108.01
IQ-OW-001,2021-01-03T20:00:00,2142.93
IQ-OW-001,2021-01-03T21:00:00,2304.05
IQ-OW-001,2021-01-03T22:00:00,2098.38
IQ-OW-001,2021-01-03T23:00:00,2266.72
IQ-OW-001,2021-01-04T00:00:00,2192.69
IQ-OW-001,2021-01-04T01:00:00,2230.16
IQ-OW-001,2021-01-04T02:00:00,2118.21
IQ-OW-001,2021-01-04T03:00:00,2214.13
IQ-OW-001,2021-01-04T04:00:00,2237.54
IQ-OW-001,2021-01-04T05:00:00,2080.40
IQ-OW-001,2021-01-04T06:00:00,2125.02
IQ-OW-001,2021-01-04T07:00:00,2256.87
IQ-OW-001,2021-01-04T08:00:00,2153.08
IQ-OW-001,2021-01-04T09:00:00,2286.70
IQ-OW-001,2021-01-04T10:00:00,2261.83
IQ-OW-001,2021-01-04T11:00:00,2060.60
IQ-OW-001,2021-01-04T12:00:00,2210.41
IQ-OW-001,2021-01-04T13:00:00,2199.81
IQ-OW-001,2021-01-04T14:00:00,2320.92
IQ-OW-001,2021-01-04T15:00:00,2341.97
IQ-OW-001,2021-01-04T16:00:00,2196.95
IQ-OW-001,2021-01-04T17:00:00,2129.61
IQ-OW-001,2021-01-04T18:00:00,2437.25
IQ-OW-001,2021-01-04T19:00:00,2078.34
IQ-OW-001,2021-01-04T20:00:00,2225.32
IQ-OW-001,2021-01-04T21:00:00,2089.49
IQ-OW-001,2021-01-04T22:00:00,2308.28
IQ-OW-001,2021-01-04T23:00:00,2190.59
IQ-OW-001,2021-01-05T00:00:00,1998.82
IQ-OW-001,2021-01-05T01:00:00,2153.53
IQ-OW-001,2021-01-05T02:00:00,2215.08
IQ-OW-001,2021-01-05T03:00:00,2280.95
IQ-OW-001,2021-01-05T04:00:00,2163.74
IQ-OW-001,2021-01-05T05:00:00,2287.83
IQ-OW-001,2021-01-05T06:00:00,2281.40
IQ-OW-001,2021-01-05T07:00:00,2162.91
IQ-OW-001,2021-01-05T08:00:00,2150.13
